category,slug,title,source_png,turnaround_prompt,rig_note
npcs,willow,Willow,source_pngs/hero_assets/npcs__willow.png,"Create a model-sheet turnaround for Willow, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Starter quest giver for A Wild Start.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
npcs,kiana,Kiana,source_pngs/hero_assets/npcs__kiana.png,"Create a model-sheet turnaround for Kiana, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Starter quest giver for A Gentle Hand / target for Word to Kiana.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
npcs,parfa,Parfa,source_pngs/hero_assets/npcs__parfa.png,"Create a model-sheet turnaround for Parfa, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Starter quest giver for Word to Kiana.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
npcs,weaponsmith,Weaponsmith,source_pngs/hero_assets/npcs__weaponsmith.png,"Create a model-sheet turnaround for Weaponsmith, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Capitol smith who imbues weapons and forges wands.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
npcs,merchant,Merchant,source_pngs/hero_assets/npcs__merchant.png,"Create a model-sheet turnaround for Merchant, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Demo plaza merchant NPC.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
channelers,fire_channeler,Fire Channeler,source_pngs/hero_assets/channelers__fire_channeler.png,"Create a model-sheet turnaround for Fire Channeler, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Fire user; burns and thaws ice underwater.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
channelers,water_channeler,Water Channeler,source_pngs/hero_assets/channelers__water_channeler.png,"Create a model-sheet turnaround for Water Channeler, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Water user; breathes water and uses ice offense.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
channelers,earth_channeler,Earth Channeler,source_pngs/hero_assets/channelers__earth_channeler.png,"Create a model-sheet turnaround for Earth Channeler, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Earth user; stagger/stone theme.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
channelers,air_channeler,Air Channeler,source_pngs/hero_assets/channelers__air_channeler.png,"Create a model-sheet turnaround for Air Channeler, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Air user; bubble support underwater.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
channelers,verdancy_channeler,Verdancy Channeler,source_pngs/hero_assets/channelers__verdancy_channeler.png,"Create a model-sheet turnaround for Verdancy Channeler, an original Elementborn game asset. Use clean cel-shaded oceanic fantasy adventure art, bold ink linework, polished painterly forms, saturated but controlled colors, hard cel-shaded shadows, and transparent background. Show neutral A-pose turnaround, arms slightly away from body, feet visible, no weapon blocking the torso. Preserve identity: Water+Earth plant user specialty.. medieval fantasy robes, tunic, sash, cloak, boots, belts and pouches; non-channeler NPCs must wear casual robes or medieval civilian attire, not armor. Keep the design consistent across views: same proportions, same clothing, same colors, same face and hair. No direct references to existing franchises, no logos, no copied costumes or symbols.","humanoid rig candidate; generate front, left side, right side, and back views at matching scale"
